Date,Link,Message
2025-07-09 15:58:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7348443504173281281,"¡Felicidades, Steven! 🎉"
2025-06-26 17:06:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343791639154376704,"¡Felicidades, Diego! 🎉"
2025-06-22 16:37:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342363430210748417,"¡Felicidades, Jose! 🎉 ahora si es el inicio de todo !!!"
2025-06-20 23:10:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341464848276348928,"Gracias por compartir, Maria Esperanza"
2025-05-02 04:00:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7322689805039923201,Me interesa
2025-04-04 14:05:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7312904394541252608,"Hola, vi la posición y me interesa"
2025-02-24 19:24:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7297650511556620288,"Hi Elizabeth, I am interested"
2024-12-15 14:26:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7269365510985732097,"¡Felicidades, Keidy Andrea! 🎉"
2024-11-10 22:46:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7260986422378008576,"¡Felicidades, Edwin!"
2024-08-06 15:19:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226607113177890816,"¡Felicidades, Alejandra!"
2024-08-05 19:44:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226217033422548992,"¡Felicidades, Luis Felipe!"
2024-06-15 15:52:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7207534966136537088,"¡Felicidades, Ro"
2024-01-03 16:48:32,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7147939273210548224,"¡Felicidades, Diana Carolina!"
2022-07-29 14:04:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6957731916892536832,Osea que ya aprendiste ...
2022-05-31 14:14:28,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6937098025500565504,"Buenos días, desde Colombia"
2022-05-20 16:19:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6933173193411063808,hi from Colombia
2022-02-10 02:39:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6895216317926916096,Ya vas a decir que vos jejeje
2021-09-01 15:26:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6836737317458341889,"Es importante tener en cuenta que esos tipos de jefes logran que los subordinados reflejen la misma situación a sus clientes y finalmente eso termina afectando a los clientes quienes son los que permiten un correcto crecimiento de la compañía, ahora entiendo por qué nunca me solucionaron en la primer llamada y tocaba comunicarse diariamente..."
2021-04-24 12:54:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6789852935103901696,I'm interested
2021-04-06 21:37:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780245741932740609,Ing. de Sistemas
2020-12-18 22:19:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6745173039555588102,"¡Felicidades, STHEPANIE!"
2020-12-06 16:16:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739262861798891520,"¡Felicidades, Lina Marcela!"
2020-10-19 21:47:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6724072118046273536,"¡Felicidades, andres felipe!"
2020-09-24 17:26:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6714363282355957761,"¡Felicidades, Viviana!"
2020-06-03 12:28:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6673911533644369920,"¡Felicidades, Arnold Jeffry!"
2020-04-01 19:01:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6648345253709402112,"¡Felicidades, Andrey David!"
2020-04-01 18:41:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6651186226588119040,Y a como es ?
