Date,Type,Link
2026-03-26 23:32:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7440856002851221504
2026-03-26 19:23:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7442636958075441152
2026-03-24 20:35:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442304704421707776
2026-03-23 06:17:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7441516293880451072
2026-03-21 02:49:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440588847282905088
2026-03-21 02:49:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440747853511053312
2026-03-20 13:31:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440745301092691968
2026-03-19 21:31:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440412583121162241
2026-03-19 20:41:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7440497336289538048
2026-03-19 18:23:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7437477745716133888
2026-03-19 11:45:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439936847721492480
2026-03-18 14:46:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439858811865088002
2026-03-18 14:12:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439280064501985280
2026-03-16 15:06:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439290679383502848
2026-03-11 14:53:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7437290170913222656?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7437290170913222656%2C7437510732331732992%29
2026-03-10 15:17:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437058383909707777
2026-02-26 11:33:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430745734280507392
2026-02-26 11:31:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432061929436917760
2026-02-25 12:42:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7432312070072590336
2026-02-25 12:42:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431522018656817152
2026-02-19 14:30:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7429214802247507968
2026-02-11 02:56:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7426988322121613312
2026-02-03 16:50:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7424486214931763200
2026-02-02 13:43:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423868275740028928
2026-01-28 02:08:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7421891871167205377
2026-01-26 02:37:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419289078770061313?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7419289078770061313%2C7419372972446126082%29
2026-01-23 15:22:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7418917792491601920
2026-01-23 15:22:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420439619306934272
2026-01-05 19:01:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7413021641707999232
2026-01-01 05:49:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7411836164233469952
2026-01-01 05:48:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7410307412890423296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7410307412890423296%2C7410323418128072705%29
2026-01-01 05:48:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7410307412890423296
2025-12-24 17:22:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409090277279309824
2025-12-22 00:49:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407041999666565120
2025-12-10 12:53:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404343703001001984
2025-11-29 01:23:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399939625466699776
2025-11-24 03:18:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7397723984416628736
2025-11-14 16:52:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7395131985511436288
2025-11-07 19:45:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7392245758206570496
2025-11-07 18:17:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7391037351403368448
2025-11-01 14:45:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389334221502361600
2025-11-01 14:42:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7390372125729251328
2025-11-01 14:40:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7385887525984260097
2025-10-31 20:37:25,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7390088754432073728
2025-10-31 20:37:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387119008845651968
2025-10-20 16:51:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7385447610821578752
2025-10-19 13:03:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377333783521533952?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7377333783521533952%2C7377416805646020608%29
2025-10-19 13:03:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377333783521533952
2025-10-17 11:39:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384605427025588224
2025-10-15 12:45:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7383444202929438721
2025-10-14 13:01:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267588854499471361
2025-10-14 02:13:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7379318395478896640
