Saved Date,Job Url,Job Title,Company Name
"3/4/26, 1:26 PM",http://www.linkedin.com/jobs/view/4378380936,QA Automation Lead ﻿(Playwright / Selenium),Nearshore Business Solutions
"6/24/26, 8:29 AM",http://www.linkedin.com/jobs/view/4426182310,"Automation Tester (Playwrigth, Typescript, Salesforce)",Sofka Technologies
"7/21/26, 8:36 PM",http://www.linkedin.com/jobs/view/4443567301,Senior Quality Assurance Automation Engineer,CodeRoad Inc
"8/5/26, 11:58 AM",http://www.linkedin.com/jobs/view/4437331010,Senior Back End Engineer,Peerspace
"7/21/26, 6:05 AM",http://www.linkedin.com/jobs/view/4440249259,Senior QA Automation Engineer ID72456,AgileEngine
"5/22/26, 1:11 PM",http://www.linkedin.com/jobs/view/4414695721,Analista de automatización de pruebas,Comfama Empleo
"5/28/26, 7:28 AM",http://www.linkedin.com/jobs/view/4414352958,AI Automation Engineer Procesos Financieros,Factech Servicios Informáticos
"6/4/26, 12:01 PM",http://www.linkedin.com/jobs/view/4415962719,Software Development Engineer in Test (SDET),Capgemini Engineering
"3/4/26, 8:27 AM",http://www.linkedin.com/jobs/view/4379244353,QA Automation Senior Freelance,Amaris Consulting
"3/4/26, 1:42 PM",http://www.linkedin.com/jobs/view/4379790846,Senior QA Automation Engineer (Selenium / Java),Lumenalta
"7/14/26, 8:47 AM",http://www.linkedin.com/jobs/view/4406546556,QA Automation Engineer (Playwright + Karate),METRICA
"2/25/26, 6:18 PM",http://www.linkedin.com/jobs/view/4372141629,,
"8/18/26, 5:01 PM",http://www.linkedin.com/jobs/view/4452522234,Subgerente de QA,Diners Club Perú
"6/25/26, 12:44 PM",http://www.linkedin.com/jobs/view/4429817722,Software Developer,Dayforce
"8/16/26, 10:42 AM",http://www.linkedin.com/jobs/view/4454597983,Senior Software Development Engineer (SDE),Encora Inc.
"7/14/26, 9:11 AM",http://www.linkedin.com/jobs/view/4431705285,Software Quality Engineer (Automation & Testing),Clario
"7/2/26, 2:14 PM",http://www.linkedin.com/jobs/view/4420772073,Senior Software Quality Assurance (SQA) Engineering Lead,"iRhythm Technologies, Inc."
"8/2/26, 12:08 PM",http://www.linkedin.com/jobs/view/4446126456,Automation Specialist,micro1
"6/24/26, 8:31 AM",http://www.linkedin.com/jobs/view/4431151745,Functional QA Engineer (Temporary Contract),Applaudo
"7/2/26, 3:19 PM",http://www.linkedin.com/jobs/view/4406442158,Sr. QA Automation Engineer,Backblaze
"7/2/26, 2:14 PM",http://www.linkedin.com/jobs/view/4429363783,Automation Software Test Engineer - REMOTE,Zachary Piper Solutions
