Ad clicked Date,Ad Title/Id
2026/05/28 13:36:57 UTC,926587194
2025/02/11 20:26:39 UTC,621555966
2026/05/28 13:47:08 UTC,926587194
2025/02/11 20:26:39 UTC,621555966
2026/05/27 21:04:55 UTC,1268328073
2025/02/11 20:26:52 UTC,621555966
2026/05/27 21:04:56 UTC,1268328073
2025/08/25 02:51:05 UTC,427864244
2026/05/27 21:04:57 UTC,1268328073
2025/08/25 02:51:05 UTC,427864244
2026/05/27 21:04:57 UTC,1268328073
2025/08/25 02:51:09 UTC,427864244
2026/05/27 13:36:32 UTC,427698984
2025/09/23 14:37:38 UTC,186486203
2026/05/27 13:46:28 UTC,427698984
2025/09/23 14:37:40 UTC,186486203
2026/05/20 19:42:32 UTC,643694406
2025/09/23 14:37:46 UTC,186486203
2026/05/20 19:42:35 UTC,643694406
2025/09/23 14:37:16 UTC,186486203
2026/05/13 19:32:54 UTC,1392913486
2025/09/23 14:37:28 UTC,186486203
2026/05/13 19:32:54 UTC,1392913486
2025/09/23 14:37:28 UTC,186486203
2026/05/13 19:40:05 UTC,1392913486
2025/09/23 14:37:28 UTC,186486203
2026/05/08 21:49:32 UTC,643656546
2025/09/23 14:37:28 UTC,186486203
2026/04/25 16:32:11 UTC,1240471944
2025/09/24 01:03:55 UTC,841525423
2026/04/25 16:29:51 UTC,1150300714
2025/09/24 01:04:01 UTC,841525423
2026/04/21 00:52:04 UTC,643694406
2025/06/21 14:32:06 UTC,731523386
2026/04/14 19:42:34 UTC,643694406
2025/09/24 00:23:47 UTC,838534646
2026/04/15 13:45:17 UTC,643694406
2025/09/23 11:42:06 UTC,627220086
2026/04/14 20:33:29 UTC,643694406
2025/05/02 04:03:22 UTC,648027434
2026/04/14 20:33:31 UTC,643694406
2025/11/28 03:17:09 UTC,676727664
2026/04/08 19:01:54 UTC,813814643
2025/12/02 13:46:39 UTC,427864244
2026/04/08 19:01:54 UTC,813814643
2025/10/13 19:28:24 UTC,644148836
2026/04/05 00:35:19 UTC,676752154
2025/10/13 19:28:33 UTC,644148836
2025/07/30 00:55:19 UTC,716558013
2025/11/21 15:36:00 UTC,720306506
2025/04/29 11:50:31 UTC,420419384
2026/03/04 16:30:43 UTC,1128505164
2025/04/29 20:24:51 UTC,420419384
2026/03/04 16:30:54 UTC,1128505164
2025/06/09 11:34:05 UTC,283754943
2026/03/04 16:33:57 UTC,627220086
2025/07/06 15:59:16 UTC,703815566
2026/03/04 18:00:06 UTC,971145483
2025/03/28 00:25:02 UTC,650440016
2026/03/04 18:00:07 UTC,971145483
