Category,Type of inference,Description,Inference
Career inferences,Human resources professional,Based on factors such as your industry and profile headline.,No
Inferred interests,Interested in oil and energy industry,Based on whether you follow companies in the oil and energy industry.,true
Inferred interests,Affinity for Electric Vehicles,"Members who follow Pages in the Electric Vehicle space, hashtags related to electric vehicles, or have engaged with content on electric vehicles in the last 6 months. This inference is used by advertisers (most popular with Automotive companies) on LinkedIn to target audiences more likely to be interested in Electric Vehicles.",true
Inferred interests,Interested in media about technology,"Interested in technology media outlets, such as Venturebeat, Ted Conferneces, Wired, TechCrunch, Gizmodo, Engadget, Mashable, PCMag, Fast Company, Popular Science, The Verge, and Tech Dirt. Based on factors such as companies followed.",true
Inferred personal characteristics,Inferred gender,Based on your first name and other factors.,MALE
Job search inferences,Interested in a new job,Based on whether you searched for a job or clicked on a posting in the past 30 days.,true
