Reviewee,Review Type,Review Section,Creation Date,Rating,Review Text,Reviewer,Review Tags
Scrum Essential Training,LEARNING_CONTENT_CONSUMPTION,TOP_LEVEL,"2/11/25, 2:58 PM",5,,Farid Maloof Suarez,
Programming Foundations: Databases,LEARNING_CONTENT_CONSUMPTION,TOP_LEVEL,"12/27/21, 5:04 AM",5,,Farid Maloof Suarez,
