Name,Number
Curso teórico-practico administración de bases de datos oracle 11G,1
Seminario Practico en SQLServer 2005,2
Seminario Teorico Practico sobre Tecnologia de Desarrollo C-Sharp,3
"Entrenamiento SOX, diseño de controles, evidencia de ejecución (KPMG)",4
"IV Encuentro de Delitos Informaticos ""SEGURIDAD CIBERNETICA HACKING ETICO"" (Fiscalia General de la Nacion)",5
SQL,
Linux,
Motivación y Liderazgo,
